2015/01/03 23:11:15.517 ::: Info -- ===========================================================
2015/01/03 23:11:15.537 ::: Info -- ===========================================================
2015/01/03 23:11:15.547 ::: Info -- ===========================================================
2015/01/03 23:11:15.557 ::: Debug -- Starting
2015/01/03 23:11:15.557 ::: Debug -- WorkDir: C:\Windows\System32\
2015/01/03 23:11:15.567 ::: Debug -- Running: C:\Windows\System32\
2015/01/03 23:11:15.567 ::: Debug -- Exe    : taskkill.exe
2015/01/03 23:11:15.577 ::: Debug -- ARGS   : /T /F /FI "IMAGENAME eq QBW.Magic.LED*"
2015/01/03 23:11:15.577 ::: Debug -- Wait   : True
2015/01/03 23:11:15.767 ::: Info -- SUCCESS: The process with PID 245900 (child process of PID 159220) has been terminated.
2015/01/03 23:11:15.777 ::: Info -- Exit code :0
2015/01/03 23:11:40.612 ::: Warn -- File does not exist: C:\Users\davidq\Documents\GitHub\arcade\QBWmagicLED\QBW_Magic_LED\bin\Release\LED\gorfQBW.Magic.LED.exe
2015/01/03 23:11:40.622 ::: Debug -- WorkDir: C:\Users\davidq\Documents\GitHub\arcade\QBWmagicLED\QBW_Magic_LED\bin\Release\
2015/01/03 23:11:40.622 ::: Debug -- Running: C:\Users\davidq\Documents\GitHub\arcade\QBWmagicLED\QBW_Magic_LED\bin\Release\
2015/01/03 23:11:40.622 ::: Debug -- Exe    : QBW.Magic.LED.exe
2015/01/03 23:11:40.632 ::: Debug -- ARGS   : default.txt
2015/01/03 23:11:40.632 ::: Debug -- Wait   : False
2015/01/03 23:11:40.662 ::: Debug -- WorkDir: C:\Windows\System32\
2015/01/03 23:11:40.692 ::: Debug -- Running: C:\Windows\System32\
2015/01/03 23:11:40.702 ::: Debug -- Exe    : taskkill.exe
2015/01/03 23:11:40.702 ::: Debug -- ARGS   : /T /F /FI "IMAGENAME eq MameButtons*"
2015/01/03 23:11:40.712 ::: Debug -- Wait   : True
2015/01/03 23:11:40.912 ::: Info -- INFO: No tasks running with the specified criteria.
2015/01/03 23:11:40.942 ::: Info -- Exit code :0
2015/01/03 23:11:40.942 ::: Debug -- WorkDir: C:\Users\davidq\Documents\GitHub\arcade\mameButtons\MameButtons\bin\Release\
2015/01/03 23:11:40.952 ::: Debug -- Running: C:\Users\davidq\Documents\GitHub\arcade\mameButtons\MameButtons\bin\Release\
2015/01/03 23:11:40.952 ::: Debug -- Exe    : MameButtons.exe
2015/01/03 23:11:40.952 ::: Debug -- ARGS   : gorf
2015/01/03 23:11:40.962 ::: Debug -- Wait   : False
2015/01/03 23:11:40.992 ::: Error -- Multi ROM found::
2015/01/03 23:11:40.992 ::: Error -- ---> C:\MAME\145b
2015/01/03 23:11:41.002 ::: Error -- ---> C:\MAME\151b\gorf.zip
2015/01/03 23:11:41.002 ::: Info -- -----------------------------------------------------------
2015/01/03 23:11:41.012 ::: Info -- MAME: C:\MAME\151b\racermame.exe gorf -joystick -nowindow -max
2015/01/03 23:11:41.012 ::: Debug -- WorkDir: C:\MAME\151b\
2015/01/03 23:11:41.022 ::: Debug -- Running: C:\MAME\151b\
2015/01/03 23:11:41.022 ::: Debug -- Exe    : racermame.exe
2015/01/03 23:11:41.032 ::: Debug -- ARGS   : gorf -joystick -nowindow -max
2015/01/03 23:11:41.032 ::: Debug -- Wait   : True
2015/01/03 23:11:42.726 ::: Error -- Sample 'a' NOT FOUND
2015/01/03 23:11:42.731 ::: Error -- Sample 'a' NOT FOUND
2015/01/03 23:11:42.736 ::: Error -- Sample 'again' NOT FOUND
2015/01/03 23:11:42.740 ::: Error -- Sample 'am' NOT FOUND
2015/01/03 23:11:42.746 ::: Error -- Sample 'am' NOT FOUND
2015/01/03 23:11:42.756 ::: Error -- Sample 'and' NOT FOUND
2015/01/03 23:11:42.761 ::: Error -- Sample 'anhilatn' NOT FOUND
2015/01/03 23:11:42.766 ::: Error -- Sample 'another' NOT FOUND
2015/01/03 23:11:42.772 ::: Error -- Sample 'another' NOT FOUND
2015/01/03 23:11:42.777 ::: Error -- Sample 'are' NOT FOUND
2015/01/03 23:11:42.782 ::: Error -- Sample 'are' NOT FOUND
2015/01/03 23:11:42.786 ::: Error -- Sample 'avenger' NOT FOUND
2015/01/03 23:11:42.791 ::: Error -- Sample 'bad' NOT FOUND
2015/01/03 23:11:42.796 ::: Error -- Sample 'bad' NOT FOUND
2015/01/03 23:11:42.801 ::: Error -- Sample 'be' NOT FOUND
2015/01/03 23:11:42.806 ::: Error -- Sample 'been' NOT FOUND
2015/01/03 23:11:42.811 ::: Error -- Sample 'but' NOT FOUND
2015/01/03 23:11:42.816 ::: Error -- Sample 'button' NOT FOUND
2015/01/03 23:11:42.821 ::: Error -- Sample 'cadet' NOT FOUND
2015/01/03 23:11:42.828 ::: Error -- Sample 'cannot' NOT FOUND
2015/01/03 23:11:42.834 ::: Error -- Sample 'captain' NOT FOUND
2015/01/03 23:11:42.840 ::: Error -- Sample 'chronicl' NOT FOUND
2015/01/03 23:11:42.845 ::: Error -- Sample 'coin' NOT FOUND
2015/01/03 23:11:42.850 ::: Error -- Sample 'coins' NOT FOUND
2015/01/03 23:11:42.855 ::: Error -- Sample 'colonel' NOT FOUND
2015/01/03 23:11:42.860 ::: Error -- Sample 'consciou' NOT FOUND
2015/01/03 23:11:42.866 ::: Error -- Sample 'defender' NOT FOUND
2015/01/03 23:11:42.871 ::: Error -- Sample 'destroy' NOT FOUND
2015/01/03 23:11:42.876 ::: Error -- Sample 'destroyd' NOT FOUND
2015/01/03 23:11:42.881 ::: Error -- Sample 'doom' NOT FOUND
2015/01/03 23:11:42.887 ::: Error -- Sample 'draws' NOT FOUND
2015/01/03 23:11:42.892 ::: Error -- Sample 'empire' NOT FOUND
2015/01/03 23:11:42.898 ::: Error -- Sample 'end' NOT FOUND
2015/01/03 23:11:42.903 ::: Error -- Sample 'enemy' NOT FOUND
2015/01/03 23:11:42.907 ::: Error -- Sample 'escape' NOT FOUND
2015/01/03 23:11:42.912 ::: Error -- Sample 'flagship' NOT FOUND
2015/01/03 23:11:42.917 ::: Error -- Sample 'for' NOT FOUND
2015/01/03 23:11:42.923 ::: Error -- Sample 'galactic' NOT FOUND
2015/01/03 23:11:42.928 ::: Error -- Sample 'general' NOT FOUND
2015/01/03 23:11:42.933 ::: Error -- Sample 'gorf' NOT FOUND
2015/01/03 23:11:42.938 ::: Error -- Sample 'gorphian' NOT FOUND
2015/01/03 23:11:42.943 ::: Error -- Sample 'gorphian' NOT FOUND
2015/01/03 23:11:42.947 ::: Error -- Sample 'gorphins' NOT FOUND
2015/01/03 23:11:42.952 ::: Error -- Sample 'hahahahu' NOT FOUND
2015/01/03 23:11:42.957 ::: Error -- Sample 'hahaher' NOT FOUND
2015/01/03 23:11:42.962 ::: Error -- Sample 'harder' NOT FOUND
2015/01/03 23:11:42.967 ::: Error -- Sample 'have' NOT FOUND
2015/01/03 23:11:42.972 ::: Error -- Sample 'hitting' NOT FOUND
2015/01/03 23:11:42.977 ::: Error -- Sample 'i' NOT FOUND
2015/01/03 23:11:42.982 ::: Error -- Sample 'i' NOT FOUND
2015/01/03 23:11:42.988 ::: Error -- Sample 'impossib' NOT FOUND
2015/01/03 23:11:42.993 ::: Error -- Sample 'in' NOT FOUND
2015/01/03 23:11:42.998 ::: Error -- Sample 'insert' NOT FOUND
2015/01/03 23:11:43.003 ::: Error -- Sample 'is' NOT FOUND
2015/01/03 23:11:43.008 ::: Error -- Sample 'live' NOT FOUND
2015/01/03 23:11:43.014 ::: Error -- Sample 'long' NOT FOUND
2015/01/03 23:11:43.021 ::: Error -- Sample 'meet' NOT FOUND
2015/01/03 23:11:43.026 ::: Error -- Sample 'move' NOT FOUND
2015/01/03 23:11:43.031 ::: Error -- Sample 'my' NOT FOUND
2015/01/03 23:11:43.037 ::: Error -- Sample 'my' NOT FOUND
2015/01/03 23:11:43.044 ::: Error -- Sample 'near' NOT FOUND
2015/01/03 23:11:43.051 ::: Error -- Sample 'next' NOT FOUND
2015/01/03 23:11:43.056 ::: Error -- Sample 'nice' NOT FOUND
2015/01/03 23:11:43.061 ::: Error -- Sample 'no' NOT FOUND
2015/01/03 23:11:43.066 ::: Error -- Sample 'now' NOT FOUND
2015/01/03 23:11:43.071 ::: Error -- Sample 'pause' NOT FOUND
2015/01/03 23:11:43.077 ::: Error -- Sample 'player' NOT FOUND
2015/01/03 23:11:43.082 ::: Error -- Sample 'prepare' NOT FOUND
2015/01/03 23:11:43.088 ::: Error -- Sample 'prisonrs' NOT FOUND
2015/01/03 23:11:43.094 ::: Error -- Sample 'promoted' NOT FOUND
2015/01/03 23:11:43.100 ::: Error -- Sample 'push' NOT FOUND
2015/01/03 23:11:43.107 ::: Error -- Sample 'robot' NOT FOUND
